Division,0
Teams,36
Number,Name,School,City,State,Country
8231,SKYHAWK,,,,
7138,Mechanical Mayhem,,,,
7006,RoboTitans,,,,
7023,HexaSONICS,,,,
4443,Sock Monkeys,,,,
6007,Octopi,,,,
6987,HatTrix,,,,
5972,Patronum Bots,,,,
5466,Combustible Lemons,,,,
6981,Hortonville Robotics,,,,
535,TOBOR,,,,
5452,Robot to the Knee,,,,
4150,Dark Matter,,,,
7228,Stryke Force Special Air Service,,,,
4969,Robot-X,,,,
3620,Furious George,,,,
7129,Robo Raiders,,,,
6127,iBots,,,,
6153,Knights of the Data Table,,,,
3549,Born to be Wired!,,,,
8911,Da vinci Decoders,,,,
8935,Twisted Metal,,,,
3788,Juggernauts,,,,
3631,Middle Earth Mechanics,,,,
6093,Deviation From the Norm,,,,
5289,Goodrich Martians,,,,
5202,Zip Tie Fighters,,,,
6458,Shufflebots,,,,
5209,Operation: BisonBot,,,,
7043,Turbo Turtles,,,,
7190,The Green Girls,,,,
7078,STEMBotics,,,,
4106,Supposable Thumbs,,,,
7158,TechKnow Difficulties,,,,
5149,Robota Red,,,,
7337,Robotium,,,,
Rank,Number,Name,QP,RP,Highest,Matches
1,8231,SKYHAWK,14,2464,555,8
2,7138,Mechanical Mayhem,14,1908,577,8
3,7006,RoboTitans,12,2269,477,8
4,7023,HexaSONICS,12,2258,555,8
5,4443,Sock Monkeys,12,2084,533,8
6,6007,Octopi,12,2036,511,8
7,6987,HatTrix,12,1528,396,8
8,5972,Patronum Bots,10,2813,613,8
9,5466,Combustible Lemons,10,2621,577,8
10,6981,Hortonville Robotics,10,2356,541,8
11,535,TOBOR,10,2328,541,8
12,5452,Robot to the Knee,10,2308,544,8
13,4150,Dark Matter,10,2177,535,8
14,7228,Stryke Force Special Air Service,10,2111,533,8
15,4969,Robot-X,10,2070,583,8
16,3620,Furious George,10,1914,466,8
17,7129,Robo Raiders,8,2304,530,8
18,6127,iBots,8,2155,495,8
19,6153,Knights of the Data Table,8,1943,508,8
20,3549,Born to be Wired!,8,1936,599,8
21,8911,Da vinci Decoders,8,1818,483,8
22,8935,Twisted Metal,6,2588,613,8
23,3788,Juggernauts,6,2298,544,8
24,3631,Middle Earth Mechanics,6,2168,535,8
25,6093,Deviation From the Norm,6,2138,449,8
26,5289,Goodrich Martians,6,1985,490,8
27,5202,Zip Tie Fighters,6,1970,483,8
28,6458,Shufflebots,4,2121,468,8
29,5209,Operation: BisonBot,4,2090,494,8
30,7043,Turbo Turtles,4,1997,464,8
31,7190,The Green Girls,4,1926,490,8
32,7078,STEMBotics,4,1845,498,8
33,4106,Supposable Thumbs,4,1844,391,8
34,7158,TechKnow Difficulties,4,1787,416,8
35,5149,Robota Red,4,1236,473,8
36,7337,Robotium,2,2246,444,8
Name,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RedTot,RedAuto,RedAutoB,RedTele,RedEndG,RedPen,BlueTot,BlueRedAuto,BlueAutoB,BlueTele,BlueEndG,BluePen
Q-21,270-457 B,8935,5149,0,6153,5289,0,270.0,50.0,0.0,48.0,172.0,0.0,457.0,70.0,0.0,191.0,196.0,0.0
Q-22,121-451 B,5202,6458,0,7023,7138,0,121.0,20.0,0.0,71.0,20.0,10.0,451.0,110.0,0.0,273.0,68.0,0.0
Q-23,501-477 R,6981,8231,0,7006,5466,0,501.0,50.0,0.0,229.0,212.0,10.0,477.0,50.0,0.0,165.0,212.0,50.0
Q-24,412-311 R,6007,6127,0,5209,3788,0,412.0,70.0,0.0,120.0,212.0,10.0,311.0,50.0,0.0,141.0,120.0,0.0
Q-25,246-533 B,7337,4150,0,4443,7228,0,246.0,20.0,0.0,146.0,70.0,10.0,533.0,50.0,0.0,261.0,172.0,50.0
Q-26,340-313 R,535,3549,0,7043,6093,0,340.0,50.0,0.0,210.0,80.0,0.0,313.0,20.0,0.0,147.0,146.0,0.0
Q-27,208-186 R,7078,7129,0,3620,8911,0,208.0,0.0,0.0,138.0,0.0,70.0,186.0,20.0,0.0,0.0,156.0,10.0
Q-28,304-227 R,6127,5202,0,8935,7158,0,304.0,0.0,0.0,174.0,130.0,0.0,227.0,50.0,0.0,97.0,80.0,0.0
Q-29,192-256 B,3788,6153,0,8231,4443,0,192.0,20.0,0.0,102.0,60.0,10.0,256.0,20.0,0.0,216.0,20.0,0.0
Q-30,495-176 R,3631,7138,0,6981,4969,0,495.0,50.0,0.0,217.0,178.0,50.0,176.0,20.0,0.0,126.0,10.0,20.0
Q-31,490-403 R,5466,4150,0,6458,3620,0,490.0,20.0,0.0,168.0,292.0,10.0,403.0,50.0,0.0,171.0,172.0,10.0
Q-32,423-422 R,8911,7006,0,5452,6007,0,423.0,50.0,0.0,81.0,292.0,0.0,422.0,40.0,0.0,140.0,242.0,0.0
Q-33,230-298 B,6987,535,0,5209,7023,0,230.0,50.0,0.0,20.0,90.0,70.0,298.0,70.0,0.0,188.0,40.0,0.0
Q-34,302-259 R,4106,6093,0,7190,7129,0,302.0,50.0,0.0,182.0,50.0,20.0,259.0,20.0,0.0,57.0,182.0,0.0
Q-35,129-599 B,5149,7337,0,5972,3549,0,129.0,20.0,0.0,69.0,30.0,10.0,599.0,140.0,0.0,201.0,198.0,60.0
Q-36,285-339 B,7078,7228,0,7043,5289,0,285.0,20.0,0.0,69.0,196.0,0.0,339.0,100.0,0.0,109.0,120.0,10.0
Q-37,227-438 B,4150,7158,0,6153,6981,0,227.0,80.0,0.0,69.0,58.0,20.0,438.0,40.0,0.0,220.0,168.0,10.0
Q-38,344-449 B,5209,8935,0,6093,5452,0,344.0,50.0,0.0,214.0,80.0,0.0,449.0,40.0,0.0,269.0,130.0,10.0
Q-39,444-403 R,8231,7337,0,6127,7190,0,444.0,20.0,0.0,282.0,122.0,20.0,403.0,70.0,0.0,153.0,110.0,70.0
Q-40,404-413 B,7023,5289,0,4969,3549,0,404.0,50.0,0.0,102.0,252.0,0.0,413.0,80.0,0.0,233.0,80.0,20.0
Q-41,292-466 B,3788,6987,0,3620,7228,0,292.0,20.0,0.0,20.0,212.0,40.0,466.0,20.0,0.0,226.0,120.0,100.0
Q-42,82-221 B,7078,535,0,6007,5149,0,82.0,20.0,0.0,32.0,20.0,10.0,221.0,20.0,0.0,87.0,114.0,0.0
Q-43,427-455 B,6458,7129,0,5972,7006,0,427.0,80.0,0.0,297.0,50.0,0.0,455.0,130.0,0.0,111.0,204.0,10.0
Q-44,291-483 B,3631,7043,0,5202,8911,0,291.0,50.0,0.0,111.0,70.0,60.0,483.0,50.0,0.0,221.0,202.0,10.0
Q-45,391-577 B,4106,4443,0,5466,7138,0,391.0,70.0,0.0,171.0,130.0,20.0,577.0,80.0,0.0,335.0,152.0,10.0
Q-46,370-555 B,5452,7228,0,7023,8231,0,370.0,20.0,0.0,108.0,232.0,10.0,555.0,80.0,0.0,259.0,166.0,50.0
Q-47,178-358 B,4969,6153,0,6987,6007,0,178.0,20.0,0.0,98.0,60.0,0.0,358.0,50.0,0.0,96.0,212.0,0.0
Q-48,204-495 B,6093,7078,0,4150,6127,0,204.0,20.0,0.0,144.0,40.0,0.0,495.0,50.0,0.0,193.0,202.0,50.0
Q-49,198-275 B,5289,7190,0,8911,3788,0,198.0,40.0,0.0,48.0,80.0,30.0,275.0,30.0,0.0,165.0,80.0,0.0
Q-50,521-414 R,535,5466,0,7158,5972,0,521.0,110.0,0.0,311.0,100.0,0.0,414.0,70.0,0.0,192.0,152.0,0.0
Q-51,318-290 R,3549,4443,0,7129,5202,0,318.0,70.0,0.0,58.0,80.0,110.0,290.0,20.0,0.0,176.0,94.0,0.0
Q-52,418-124 R,7006,7138,0,7043,5149,0,418.0,140.0,0.0,36.0,222.0,20.0,124.0,50.0,0.0,54.0,20.0,0.0
Q-53,405-391 R,3631,8935,0,6458,7337,0,405.0,50.0,0.0,205.0,130.0,20.0,391.0,20.0,0.0,169.0,202.0,0.0
Q-54,148-70 R,6981,3620,0,4106,5209,0,148.0,50.0,0.0,18.0,30.0,50.0,70.0,50.0,0.0,0.0,20.0,0.0
Q-55,358-401 B,5202,5972,0,6007,4150,0,358.0,50.0,0.0,250.0,58.0,0.0,401.0,70.0,0.0,89.0,242.0,0.0
Q-56,501-237 R,3788,4969,0,7006,7158,0,501.0,20.0,0.0,235.0,146.0,100.0,237.0,20.0,0.0,45.0,172.0,0.0
Q-57,473-267 R,5149,7023,0,8911,6093,0,473.0,70.0,0.0,273.0,120.0,10.0,267.0,20.0,0.0,111.0,126.0,10.0
Q-58,230-352 B,3549,6127,0,7138,3620,0,230.0,80.0,0.0,90.0,60.0,0.0,352.0,110.0,0.0,116.0,126.0,0.0
Q-59,348-354 B,6981,7337,0,5452,7078,0,348.0,80.0,0.0,148.0,110.0,10.0,354.0,50.0,0.0,114.0,110.0,80.0
Q-60,508-340 R,7129,6153,0,3631,5466,0,508.0,40.0,0.0,262.0,206.0,0.0,340.0,50.0,0.0,86.0,194.0,10.0
Q-61,196-372 B,7043,4106,0,8231,6987,0,196.0,20.0,0.0,46.0,130.0,0.0,372.0,80.0,0.0,272.0,20.0,0.0
Q-62,379-490 B,7228,8935,0,535,7190,0,379.0,0.0,0.0,165.0,214.0,0.0,490.0,110.0,0.0,148.0,232.0,0.0
Q-63,283-348 B,5289,5209,0,6458,4443,0,283.0,20.0,0.0,143.0,120.0,0.0,348.0,20.0,0.0,166.0,152.0,10.0
Q-64,140-394 B,3620,3631,0,7006,6093,0,140.0,20.0,0.0,0.0,110.0,10.0,394.0,70.0,0.0,62.0,262.0,0.0
Q-65,466-338 R,4969,5202,0,7337,5466,0,466.0,40.0,0.0,234.0,172.0,20.0,338.0,20.0,0.0,248.0,60.0,10.0
Q-66,511-166 R,7228,6007,0,4106,3549,0,511.0,20.0,0.0,189.0,242.0,60.0,166.0,20.0,0.0,126.0,20.0,0.0
Q-67,613-482 R,8935,5972,0,6981,7023,0,613.0,140.0,0.0,219.0,234.0,20.0,482.0,100.0,0.0,210.0,162.0,10.0
Q-68,423-124 R,7129,8231,0,5149,7158,0,423.0,110.0,0.0,167.0,146.0,0.0,124.0,40.0,0.0,44.0,30.0,10.0
Q-69,130-271 B,5289,7138,0,4150,535,0,130.0,20.0,0.0,20.0,80.0,10.0,271.0,70.0,0.0,71.0,130.0,0.0
Q-70,200-544 B,7043,6458,0,3788,5452,0,200.0,20.0,0.0,100.0,70.0,10.0,544.0,50.0,0.0,252.0,192.0,50.0
Q-71,276-180 R,5209,7190,0,6153,7078,0,276.0,70.0,0.0,86.0,110.0,10.0,180.0,20.0,0.0,100.0,60.0,0.0
Q-72,233-396 B,6127,8911,0,4443,6987,0,233.0,50.0,0.0,83.0,100.0,0.0,396.0,70.0,0.0,116.0,160.0,50.0
SF-1-1,444-619 B,8231,7023,6007,4443,5466,4150,444.0,110.0,0.0,98.0,226.0,10.0,619.0,110.0,0.0,267.0,232.0,10.0
SF-2-1,50-606 B,7138,5972,8935,7006,3788,5202,50.0,20.0,0.0,0.0,30.0,0.0,606.0,20.0,0.0,204.0,292.0,90.0
SF-1-2,360-420 B,8231,7023,6007,4443,5466,4150,360.0,50.0,0.0,222.0,78.0,10.0,420.0,20.0,0.0,240.0,100.0,60.0
SF-2-2,521-292 R,7138,5972,8935,7006,3788,5202,521.0,50.0,0.0,281.0,80.0,110.0,292.0,40.0,0.0,0.0,252.0,0.0
SF-2-3,565-524 R,7138,5972,8935,7006,3788,5202,565.0,140.0,0.0,195.0,80.0,150.0,524.0,50.0,0.0,192.0,282.0,0.0
F-1,547-352 R,4443,5466,4150,7138,5972,8935,547.0,20.0,0.0,265.0,252.0,10.0,352.0,20.0,0.0,192.0,130.0,10.0
F-2,382-469 B,4443,5466,4150,7138,5972,8935,382.0,50.0,0.0,90.0,242.0,0.0,469.0,110.0,0.0,157.0,202.0,0.0
F-3,645-564 R,4443,5466,4150,7138,5972,8935,645.0,110.0,0.0,223.0,282.0,30.0,564.0,110.0,0.0,162.0,282.0,10.0
