Division,0
Teams,36
Number,Name,School,City,State,Country
724,RedNek Robotics Wun,,,,
5026,Tesla Coils,,,,
6935,PARADOX,,,,
2844,Valley X Robotics,,,,
8471,The Ducks,,,,
3480,FrostByte,,,,
6978,Pioneer Robotics,,,,
5223,Grizzly Robotics,,,,
7013,Hot Wired Robotics,,,,
8640,Trojan Robotics,,,,
6932,Animosus,,,,
3526,Marlbots,,,,
6382,Robo Wizards 2.0,,,,
4625,Kings and Queens,,,,
4322,PHI Omega,,,,
7591,Voltage of Imagination,,,,
8778,The Grid Skippers,,,,
5961,Vashon Rock Solid Robotics,,,,
6424,Oly Cow,,,,
8476,Chunky Bears,,,,
5326,The Enterprisers,,,,
8466,The Fellowship of the Robot,,,,
6565,Stuffed Dragons,,,,
8496,Heat It Up and Keep It Cool,,,,
9164,Zorrobots,,,,
4790,Area 52 Robotics,,,,
2856,Tesseract,,,,
7364,Mindbot Maniacs,,,,
7333,Combustible Lemons,,,,
6930,Syntax Error 42,,,,
7104,Synergists,,,,
5895,The Ladybots,,,,
9112,Skeleton Crew,,,,
5206,The Knights of Ni,,,,
4954,Cuz Y Not,,,,
5157,The Metal That MovesTM,,,,
Rank,Number,Name,QP,RP,Highest,Matches
1,724,RedNek Robotics Wun,18,3005,793,9
2,5026,Tesla Coils,16,2632,675,9
3,6935,PARADOX,16,2191,464,9
4,2844,Valley X Robotics,14,2704,633,9
5,8471,The Ducks,14,2364,631,9
6,3480,FrostByte,12,2936,631,9
7,6978,Pioneer Robotics,12,2696,677,9
8,5223,Grizzly Robotics,12,2430,675,9
9,7013,Hot Wired Robotics,10,3028,706,9
10,8640,Trojan Robotics,10,2917,520,9
11,6932,Animosus,10,2866,603,9
12,3526,Marlbots,10,2691,664,9
13,6382,Robo Wizards 2.0,10,2103,633,9
14,4625,Kings and Queens,10,1918,627,9
15,4322,PHI Omega,10,1853,433,9
16,7591,Voltage of Imagination,8,2937,519,9
17,8778,The Grid Skippers,8,2661,647,9
18,5961,Vashon Rock Solid Robotics,8,2623,483,9
19,6424,Oly Cow,8,2487,555,9
20,8476,Chunky Bears,8,2473,626,9
21,5326,The Enterprisers,8,2382,486,9
22,8466,The Fellowship of the Robot,8,2267,597,9
23,6565,Stuffed Dragons,8,2203,793,9
24,8496,Heat It Up and Keep It Cool,8,2078,555,9
25,9164,Zorrobots,8,1941,570,9
26,4790,Area 52 Robotics,6,3133,520,9
27,2856,Tesseract,6,2594,500,9
28,7364,Mindbot Maniacs,6,2338,482,9
29,7333,Combustible Lemons,6,2290,716,9
30,6930,Syntax Error 42,6,2272,579,9
31,7104,Synergists,6,2268,509,9
32,5895,The Ladybots,6,2045,500,9
33,9112,Skeleton Crew,6,1436,477,9
34,5206,The Knights of Ni,4,2622,706,9
35,4954,Cuz Y Not,4,2478,515,9
36,5157,The Metal That MovesTM,4,2062,502,9
Name,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RedTot,RedAuto,RedAutoB,RedTele,RedEndG,RedPen,BlueTot,BlueRedAuto,BlueAutoB,BlueTele,BlueEndG,BluePen
Q-11,356-384 B,8496,7364,0,6382,8640,0,356.0,50.0,0.0,150.0,146.0,10.0,384.0,140.0,0.0,144.0,100.0,0.0
Q-12,306-378 B,7591,4954,0,6930,6424,0,306.0,90.0,0.0,114.0,92.0,10.0,378.0,20.0,0.0,144.0,154.0,60.0
Q-13,157-342 B,5157,8476,0,4322,5206,0,157.0,20.0,0.0,127.0,0.0,10.0,342.0,40.0,0.0,132.0,170.0,0.0
Q-14,214-127 R,8778,6565,0,5895,7104,0,214.0,40.0,0.0,154.0,20.0,0.0,127.0,20.0,0.0,27.0,60.0,20.0
Q-15,248-164 R,6932,6978,0,7333,2856,0,248.0,80.0,0.0,68.0,90.0,10.0,164.0,50.0,0.0,44.0,70.0,0.0
Q-16,172-222 B,8466,5961,0,6935,4625,0,172.0,50.0,0.0,112.0,10.0,0.0,222.0,20.0,0.0,132.0,70.0,0.0
Q-17,50-305 B,5326,9112,0,8471,5223,0,50.0,20.0,0.0,0.0,20.0,10.0,305.0,20.0,0.0,255.0,30.0,0.0
Q-18,468-471 B,3526,7013,0,2844,3480,0,468.0,50.0,0.0,236.0,182.0,0.0,471.0,50.0,0.0,179.0,242.0,0.0
Q-19,120-555 B,5157,7104,0,6424,8496,0,120.0,40.0,0.0,20.0,40.0,20.0,555.0,50.0,0.0,319.0,186.0,0.0
Q-20,363-426 B,8640,6930,0,2856,6932,0,363.0,20.0,0.0,171.0,172.0,0.0,426.0,70.0,0.0,114.0,212.0,30.0
Q-21,252-159 R,6978,9164,0,8466,7364,0,252.0,100.0,0.0,92.0,50.0,10.0,159.0,80.0,0.0,21.0,48.0,10.0
Q-22,156-376 B,8476,6382,0,8471,4625,0,156.0,20.0,0.0,18.0,118.0,0.0,376.0,50.0,0.0,274.0,52.0,0.0
Q-23,304-632 B,5895,9112,0,7013,5026,0,304.0,20.0,0.0,108.0,166.0,10.0,632.0,110.0,0.0,300.0,212.0,10.0
Q-24,447-463 B,4790,8778,0,6935,2844,0,447.0,20.0,0.0,223.0,144.0,60.0,463.0,50.0,0.0,201.0,212.0,0.0
Q-25,168-262 B,4322,5326,0,3526,5961,0,168.0,40.0,0.0,0.0,128.0,0.0,262.0,70.0,0.0,72.0,20.0,100.0
Q-26,194-793 B,4954,5206,0,724,6565,0,194.0,20.0,0.0,114.0,60.0,0.0,793.0,140.0,0.0,371.0,282.0,0.0
Q-27,435-522 B,7591,7333,0,3480,5223,0,435.0,60.0,0.0,165.0,200.0,10.0,522.0,70.0,0.0,200.0,242.0,10.0
Q-28,331-191 R,8640,5895,0,9164,8476,0,331.0,20.0,0.0,87.0,174.0,50.0,191.0,20.0,0.0,151.0,20.0,0.0
Q-29,194-425 B,8471,7013,0,6935,8496,0,194.0,70.0,0.0,24.0,90.0,10.0,425.0,20.0,0.0,183.0,192.0,30.0
Q-30,388-502 B,5961,2844,0,6424,6978,0,388.0,110.0,0.0,134.0,144.0,0.0,502.0,140.0,0.0,272.0,90.0,0.0
Q-31,222-470 B,4625,6930,0,4790,5326,0,222.0,20.0,0.0,0.0,192.0,10.0,470.0,20.0,0.0,204.0,226.0,20.0
Q-32,282-214 R,4322,3480,0,5223,8778,0,282.0,80.0,0.0,0.0,202.0,0.0,214.0,20.0,0.0,32.0,162.0,0.0
Q-33,603-318 R,724,6932,0,9112,7104,0,603.0,90.0,0.0,261.0,252.0,0.0,318.0,20.0,0.0,228.0,70.0,0.0
Q-34,280-492 B,7591,5206,0,3526,6382,0,280.0,50.0,0.0,168.0,62.0,0.0,492.0,100.0,0.0,228.0,104.0,60.0
Q-35,128-154 B,5157,2856,0,4954,7364,0,128.0,20.0,0.0,20.0,88.0,0.0,154.0,20.0,0.0,32.0,92.0,10.0
Q-36,410-184 R,5026,7333,0,6565,8466,0,410.0,40.0,0.0,240.0,130.0,0.0,184.0,20.0,0.0,124.0,40.0,0.0
Q-37,336-148 R,3480,6935,0,6930,5895,0,336.0,20.0,0.0,168.0,98.0,50.0,148.0,20.0,0.0,108.0,20.0,0.0
Q-38,570-172 R,5223,9164,0,8496,6932,0,570.0,110.0,0.0,218.0,242.0,0.0,172.0,0.0,0.0,48.0,124.0,0.0
Q-39,383-647 B,8640,5961,0,724,8778,0,383.0,110.0,0.0,51.0,222.0,0.0,647.0,80.0,0.0,315.0,232.0,20.0
Q-40,480-450 R,2856,8471,0,5206,4790,0,480.0,50.0,0.0,192.0,178.0,60.0,450.0,70.0,0.0,270.0,110.0,0.0
Q-41,114-477 B,8466,6424,0,8476,9112,0,114.0,50.0,0.0,14.0,40.0,10.0,477.0,80.0,0.0,257.0,140.0,0.0
Q-42,142-331 B,3526,4625,0,7333,6565,0,142.0,20.0,0.0,0.0,102.0,20.0,331.0,50.0,0.0,65.0,216.0,0.0
Q-43,229-329 B,4322,7364,0,7591,7104,0,229.0,20.0,0.0,119.0,70.0,20.0,329.0,20.0,0.0,243.0,66.0,0.0
Q-44,633-230 R,2844,6382,0,4954,5026,0,633.0,170.0,0.0,251.0,202.0,10.0,230.0,70.0,0.0,80.0,70.0,10.0
Q-45,677-238 R,7013,6978,0,5326,5157,0,677.0,170.0,0.0,325.0,182.0,0.0,238.0,80.0,0.0,0.0,158.0,0.0
Q-46,330-520 B,6424,3480,0,8640,4790,0,330.0,80.0,0.0,190.0,60.0,0.0,520.0,80.0,0.0,260.0,180.0,0.0
Q-47,210-253 B,9112,7333,0,8496,5961,0,210.0,80.0,0.0,0.0,130.0,0.0,253.0,50.0,0.0,83.0,70.0,50.0
Q-48,509-457 R,7104,6565,0,5223,2856,0,509.0,140.0,0.0,279.0,90.0,0.0,457.0,50.0,0.0,171.0,186.0,50.0
Q-49,481-445 R,2844,8471,0,5895,7591,0,481.0,50.0,0.0,239.0,192.0,0.0,445.0,60.0,0.0,243.0,132.0,10.0
Q-50,365-214 R,4954,6382,0,4322,6978,0,365.0,80.0,0.0,147.0,128.0,10.0,214.0,70.0,0.0,22.0,92.0,30.0
Q-51,464-369 R,6935,5026,0,8476,5326,0,464.0,60.0,0.0,72.0,262.0,70.0,369.0,20.0,0.0,87.0,262.0,0.0
Q-52,395-401 B,3526,7364,0,8778,6932,0,395.0,70.0,0.0,93.0,212.0,20.0,401.0,20.0,0.0,189.0,192.0,0.0
Q-53,491-563 B,6930,5157,0,8466,724,0,491.0,160.0,0.0,183.0,88.0,60.0,563.0,110.0,0.0,251.0,202.0,0.0
Q-54,706-403 R,7013,5206,0,4625,9164,0,706.0,140.0,0.0,314.0,252.0,0.0,403.0,70.0,0.0,199.0,124.0,10.0
Q-55,265-249 R,6382,5961,0,3480,2856,0,265.0,80.0,0.0,105.0,80.0,0.0,249.0,20.0,0.0,87.0,142.0,0.0
Q-56,626-515 R,8476,5223,0,4954,4790,0,626.0,50.0,0.0,334.0,242.0,0.0,515.0,110.0,0.0,193.0,202.0,10.0
Q-57,326-298 R,6424,4322,0,5895,6932,0,326.0,50.0,0.0,136.0,130.0,10.0,298.0,40.0,0.0,168.0,90.0,0.0
Q-58,519-402 R,7591,5026,0,6978,8778,0,519.0,170.0,0.0,125.0,194.0,30.0,402.0,80.0,0.0,90.0,182.0,50.0
Q-59,289-250 R,6935,9112,0,3526,5157,0,289.0,50.0,0.0,125.0,114.0,0.0,250.0,70.0,0.0,60.0,120.0,0.0
Q-60,159-437 B,6930,6565,0,2844,9164,0,159.0,50.0,0.0,69.0,30.0,10.0,437.0,50.0,0.0,201.0,176.0,10.0
Q-61,366-337 R,8496,8466,0,5326,5206,0,366.0,110.0,0.0,54.0,202.0,0.0,337.0,80.0,0.0,197.0,50.0,10.0
Q-62,716-465 R,7333,724,0,7013,7364,0,716.0,110.0,0.0,344.0,252.0,10.0,465.0,50.0,0.0,203.0,162.0,50.0
Q-63,384-267 R,8640,4625,0,8471,7104,0,384.0,50.0,0.0,234.0,100.0,0.0,267.0,20.0,0.0,147.0,90.0,10.0
Q-64,395-502 B,5961,3480,0,5026,5157,0,395.0,80.0,0.0,33.0,222.0,60.0,502.0,110.0,0.0,174.0,218.0,0.0
Q-65,126-228 B,5895,6382,0,9112,4790,0,126.0,0.0,0.0,36.0,80.0,10.0,228.0,20.0,0.0,108.0,100.0,0.0
Q-66,380-373 R,5326,6932,0,6565,2844,0,380.0,20.0,0.0,198.0,162.0,0.0,373.0,20.0,0.0,87.0,256.0,10.0
Q-67,318-488 B,8496,2856,0,8476,8778,0,318.0,80.0,0.0,158.0,70.0,10.0,488.0,80.0,0.0,278.0,70.0,60.0
Q-68,446-627 B,7591,6978,0,724,4625,0,446.0,110.0,0.0,84.0,252.0,0.0,627.0,50.0,0.0,301.0,216.0,60.0
Q-69,253-242 R,7104,3526,0,9164,4954,0,253.0,70.0,0.0,93.0,80.0,10.0,242.0,20.0,0.0,132.0,80.0,10.0
Q-70,522-200 R,8471,6930,0,7333,4322,0,522.0,50.0,0.0,210.0,212.0,50.0,200.0,0.0,0.0,80.0,100.0,20.0
Q-71,191-413 B,6424,5206,0,6935,7364,0,191.0,50.0,0.0,121.0,20.0,0.0,413.0,80.0,0.0,135.0,168.0,30.0
Q-72,412-349 R,8466,5223,0,7013,8640,0,412.0,20.0,0.0,180.0,212.0,0.0,349.0,70.0,0.0,73.0,186.0,20.0
Q-73,489-40 R,2844,4625,0,8496,9112,0,489.0,110.0,0.0,197.0,182.0,0.0,40.0,20.0,0.0,0.0,10.0,10.0
Q-74,664-415 R,3526,724,0,2856,8476,0,664.0,100.0,0.0,320.0,184.0,60.0,415.0,50.0,0.0,275.0,70.0,20.0
Q-75,394-346 R,5326,5895,0,4954,7333,0,394.0,20.0,0.0,132.0,212.0,30.0,346.0,50.0,0.0,14.0,262.0,20.0
Q-76,452-374 R,3480,6978,0,7104,5206,0,452.0,110.0,0.0,140.0,182.0,20.0,374.0,50.0,0.0,180.0,144.0,0.0
Q-77,430-483 B,4790,6932,0,5961,7591,0,430.0,80.0,0.0,268.0,72.0,10.0,483.0,80.0,0.0,199.0,184.0,20.0
Q-78,379-433 B,6935,6565,0,8640,4322,0,379.0,130.0,0.0,125.0,124.0,0.0,433.0,70.0,0.0,263.0,80.0,20.0
Q-79,597-441 R,8466,7013,0,6382,6424,0,597.0,90.0,0.0,249.0,238.0,20.0,441.0,140.0,0.0,201.0,100.0,0.0
Q-80,675-227 R,5223,5026,0,7364,6930,0,675.0,80.0,0.0,323.0,262.0,10.0,227.0,130.0,0.0,97.0,0.0,0.0
Q-81,279-489 B,8778,5157,0,8471,9164,0,279.0,20.0,0.0,69.0,180.0,10.0,489.0,50.0,0.0,217.0,212.0,10.0
SF-1-1,785-406 R,724,7013,5206,8471,3480,5223,785.0,100.0,0.0,373.0,312.0,0.0,406.0,70.0,0.0,104.0,232.0,0.0
SF-1-2,328-412 B,724,7013,5206,8471,3480,5223,328.0,50.0,0.0,190.0,88.0,0.0,412.0,20.0,0.0,140.0,252.0,0.0
SF-1-3,807-454 R,724,7013,5206,8471,3480,5223,807.0,110.0,0.0,375.0,312.0,10.0,454.0,80.0,0.0,162.0,192.0,20.0
SF-2-1,652-468 R,5026,2844,7591,6935,4790,8640,652.0,170.0,0.0,260.0,212.0,10.0,468.0,50.0,0.0,266.0,152.0,0.0
SF-2-2,434-406 R,5026,2844,7591,6935,4790,8640,434.0,110.0,0.0,108.0,206.0,10.0,406.0,50.0,0.0,276.0,10.0,70.0
F-1,822-637 R,724,7013,5206,5026,2844,7591,822.0,140.0,0.0,300.0,312.0,70.0,637.0,140.0,0.0,165.0,252.0,80.0
F-2,867-627 R,724,7013,5206,5026,2844,7591,867.0,110.0,0.0,375.0,282.0,100.0,627.0,170.0,0.0,179.0,238.0,40.0
